1,2,3,4,5
2,0,107.8,0.83,0.21707
2,0,109.872222,0.78,0.282076
2,0,112.222222,0.72,0.374196
2,0,115.094444,0.61,0.432577
2,0,117.355556,0.52,0.469572
2,0,119.005556,0.46,0.493916
2,0,120.044444,0.4,0.499508
2,0,121.05,0.4,0.524566
2,0,121.183333,0.37,0.516577
2,0,120.116667,0.4,0.501307
2,0,120.216667,0.36,0.489405
2,0,120,0.43,0.50908
2,0,117.8,0.5,0.47526
2,0,116.061111,0.53,0.437408
2,0,115.022222,0.55,0.414463
3,0,114.422222,0.58,0.405611
3,0,114.255556,0.59,0.403461
3,0,113.772222,0.6,0.392233
3,0,113.283333,0.63,0.385403
3,0,108.633333,0.87,0.234666
3,0,111.25,0.83,0.366458
3,0,111.183333,0.89,0.37623
3,0,110.694444,0.95,0.371204
2,0,111.111111,0.93,0.381711
2,0,111.111111,0.93,0.381711
1,0,112.166667,0.82,0.394151
1,0,112.755556,0.79,0.406418
1,0,113.838889,0.84,0.453251
1,0,116.183333,0.73,0.49835
2,0,117.516667,0.67,0.5207
2,0,117.383333,0.67,0.516737
2,0,117.361111,0.71,0.528438
2,0,117.205556,0.74,0.53289
2,0,115.633333,0.81,0.503675
3,0,113.577778,0.9,0.4592
4,0,110.911111,0.86,0.361245
4,0,108.8,0.99,0.249627
3,0,108.961111,0.93,0.25317
3,0,108.2,0.96,0.22338
3,0,107.688889,0.96,0.199055
3,0,107.766667,0.96,0.216596
4,0,108.2,0.96,0.231521
4,0,108.177778,0.93,0.215571
2,0,107.311111,0.82,0.218583
3,0,107.644444,0.93,0.217862
3,0,106.622222,0.93,0.158696
3,0,106.683333,0.93,0.170148
3,0,106.088889,0.93,0.132931
3,0,106.066667,0.93,0.132263
2,0,106.144444,0.93,0.131213
2,0,107.133333,0.8,0.157352
3,0,107.205556,0.86,0.172805
2,0,107.566667,0.84,0.181956
2,0,108.9,0.77,0.221505
2,0,109.961111,0.71,0.25272
2,0,109.888889,0.71,0.250183
2,0,111.066667,0.71,0.336847
3,0,110.116667,0.76,0.316935
3,0,111.038889,0.66,0.326177
3,0,110.65,0.7,0.322269
3,0,110.05,0.7,0.304113
2,0,109.9,0.66,0.260269
3,0,108.794444,0.71,0.237586
2,0,107.827778,0.72,0.202576
3,0,107.855556,0.72,0.213972
2,0,107.316667,0.75,0.210695
3,0,107.244444,0.75,0.206369
1,0,105.438889,0.88,0.182007
3,0,107.2,0.76,0.184052
3,0,106.688889,0.7,0.14903
3,0,106.211111,0.73,0.137119
3,0,106.111111,0.76,0.139584
3,0,106.111111,0.76,0.133927
3,0,106.172222,0.76,0.142455
3,0,107.222222,0.71,0.168254
3,0,107.288889,0.73,0.177579
3,0,107.405556,0.72,0.187098
3,0,107.961111,0.7,0.212324
3,0,108.033333,0.7,0.23628
3,0,109.077778,0.65,0.266614
3,0,109.05,0.62,0.260966
3,0,109.05,0.65,0.265799
3,0,109.183333,0.65,0.269714
3,0,109.072222,0.7,0.250065
3,0,107.983333,0.75,0.230423
3,0,108.072222,0.75,0.225924
3,0,107.894444,0.82,0.227132
3,0,107.311111,0.83,0.197344
2,0,107.338889,0.84,0.205064
2,0,106.622222,0.85,0.176724
1,0,106.066667,0.88,0.158582
1,0,108.338889,0.88,0.279053
2,0,105.183333,0.91,0.157996
2,0,103.722222,0.94,0.108584
2,0,104.855556,0.93,0.147054
4,0,105.211111,0.92,0.178095
3,0,106.255556,0.92,0.186164
2,0,107.794444,0.87,0.230506
2,0,110.05,0.76,0.314846
2,0,112.2,0.66,0.360486
2,0,112.7,0.63,0.368478
1,0,113.933333,0.58,0.391861
